tMs,etLabel,cnnFG,cryptoFG,stBull,regimeScore,composite
1781838370070,Jun 18 2026 11:06 PM ET,38,14,,71.4,41.1
1781838391056,Jun 18 2026 11:06 PM ET,38,14,,71.4,41.1
1781838730796,Jun 18 2026 11:12 PM ET,38,14,,71.4,41.1
1781838989411,Jun 18 2026 11:16 PM ET,38,14,,71.4,41.1
1781878377968,Jun 19 2026 10:12 AM ET,37,14,,71.4,40.8
1781887333489,Jun 19 2026 12:42 PM ET,37,14,,71.4,40.8
1781893446569,Jun 19 2026 2:24 PM ET,37,14,,71.4,40.8
1781900064161,Jun 19 2026 4:14 PM ET,37,14,,71.4,40.8
1781905056909,Jun 19 2026 5:37 PM ET,37,14,,71.4,40.8
1782143440787,Jun 22 2026 11:50 AM ET,36,20,,71.4,42.5
